Kogo,Gendaigo
われから,自分のせいで
わろし,よくない
ゐる,座る
をかし,趣がある
をかしげなり,趣のある様子だ
をこがまし,愚かしい
をこがる,ばかにする
をこなり,ばかだ
をさをさ~まじ,ほとんど~ないだろう
をりふし,ちょうどその時 その時々
中垣こそあれ,中垣はあるが
体言 +がな,があればいいなあ
体言 +もがな,があればいいなあ
便なし,都合が悪い
具す,つき従う
困ず(こうず),疲れる
大人し,大人びている 年配だ
失す,亡くなる
年ごろ,長年
御幸,上皇・法皇・女院のお出かけ
念じわぶ,我慢しかねる
恋わたる,ずっと恋している
愛づ,感嘆する
愛でたし,すばらしい
憂し,つらい
憂ふ,訴える
手,筆跡 演奏法
才(ざえ),学問
未然形+ばや,~したい
未然形+まほし,~したい
本意(ほい),かねてからの願い
無下なり(むげなり),まったくひどい
無関係だ,よそなり
給へり,なさった
興ず(きょうず),おもしろがる
良し,身分が高く教養がある
行啓,皇后・皇太子のお出かけ
行幸,天皇のお出かけ
見ゆ,見える
言ふもおろかなり,言うまでもない
言へばさらなり,言うまでもない
霞わたる,一面に霞がかかっている
飽かず,満ち足りない 飽きない
~あへず,最期まで~しきれない
~さす,~を中断する
~てなむ,~てしまってほしい
~てば,もし〜してしまったら
~てばや,~てしまいたい
~てむ,きっと~だろう
~なばや,~てしまいたい
~まさる,ますます~する
~ましかば、・・・まし,もし~たなら・・だったろうに
~ましかば。,~だったらよかったのになあ
~ませば、・・・まし,もし~たなら・・だったろうに
~もしるく,~もそのとおりに
~やる,最後まで~する 遠くまで~する
~わたる (補助動詞),ずっと~する(時間)一面に~する(空間)
~わづらふ(補助動詞),~するのに困る
~入る,深く~する
~出す ~出づ,~し始める
